Driver Users User ID,Driver Users Metro ID,Latitude,Longitude,Driver Rating
43381,64,40.32324,-80.06696,3
42663,64,40.60879,-79.74242,3
42179,64,40.41701,-79.99458,5
17199,64,40.50557,-79.84324,5
20174,64,40.43545,-80.01503,3
43382,64,40.52489,-80.23496,3
42736,64,40.68390667,-80.12688717,3
37638,64,40.40857,-79.98831,3
24139,64,40.46543,-79.86321,4
22002,64,40.34321,-79.85163,4
43470,30,32.23025,-110.91442,3
33033,30,33.57401,-112.18295,5
41364,30,33.61918,-112.31482,3
37672,30,33.67752,-111.95862,3
43291,30,33.24742,-111.5389,3
24661,30,33.37012,-111.84045,3
14221,30,33.74232,-112.12685,3
37140,30,33.056899,-111.482312,5
35555,30,33.74162,-112.09994,3
28315,30,33.64209,-112.25182,3
37138,30,33.44464,-112.38987,5
41365,30,33.41272,-112.26129,3
37331,30,33.30723,-111.90754,3
43487,30,33.6357,-112.39176,3
43490,30,33.49009,-112.3705,3
37166,30,33.46398,-112.23235,5
13574,30,39.549283,-104.912575,3
37444,30,33.78092,-112.11409,3
32049,30,33.46224,-111.89877,3
35876,30,33.5619,-112.18736,3
37284,30,33.303941,-111.869267,3
43293,30,33.407,-111.78433,3
43156,30,33.29383,-111.80082,3
42692,30,33.51081,-112.17872,3
35208,30,33.42453,-112.29986,3
38805,30,33.7361,-112.25423,3
18514,30,33.44365,-111.83396,3
14489,30,33.33931,-111.77913,3
43472,30,33.24616,-111.63146,3
24062,30,33.60628,-112.03539,3
37668,30,33.383692,-111.958741,5
43486,30,33.44468,-111.77329,3
28140,30,33.41651,-111.78755,3
41740,30,33.66161,-112.23597,5
43733,30,33.36939,-112.17954,3
27454,30,33.4809,-111.95368,3
28649,30,33.51754,-112.34326,3
35556,30,33.36455,-111.97448,5
37332,30,33.50031,-112.16269,3
37441,30,33.42371,-111.73971,3
37340,30,33.40148,-111.84537,3
43290,30,33.30585,-111.81884,3
35565,30,33.50399,-112.20228,3
43337,30,33.60008,-112.32209,3
13677,30,33.31394,-111.84919,3
37486,30,33.398967,-111.837911,3
27002,30,33.60226,-112.25173,3
37461,30,33.52633,-112.14893,3
32196,30,33.56121,-112.10483,3
37342,30,33.47653,-112.01134,3
42691,30,33.33582,-111.87227,3
39054,30,33.59558,-112.33114,3
43289,30,33.27988,-111.70334,3
37327,30,33.44516,-112.53618,3
14723,30,32.90307,-111.74504,5
43494,30,33.559935,-112.182125,3
43493,30,33.47987,-111.97712,3
14213,30,33.56121,-112.10483,5
42599,30,33.85697,-112.13671,3
40293,31,40.03104,-75.13136,3
43316,31,40.03755,-75.05302,3
32561,31,39.92667,-75.30066,3
42246,31,29.736153,-95.509392,3
42776,31,40.25779,-75.4682,3
22226,31,40.04768,-75.05253,3
32135,31,39.92135,-75.17072,3
32103,31,40.10376633,-75.01535617,3
42178,31,40.926396,-73.89898583,3
42901,31,40.13025,-75.01888,3
32015,31,40.03566,-75.07205,3
38304,31,40.09182,-75.02469,3
43236,31,40.04648,-75.11401,3
42773,31,40.60813,-75.35488,3
42662,31,40.16412,-75.2354,3
31900,31,39.9375,-75.25198,3
31150,31,40.07609,-75.04067,3
43170,31,39.89429,-75.29369,3
29450,31,40.00803,-75.10694,5
43615,31,39.924,-75.24126,3
32549,31,39.92361,-75.17181,3
7810,31,40.08224,-75.04933,5
29065,31,40.04081,-75.11669,3
43167,31,39.97185,-75.2116,3
28317,31,40.13131,-75.21482,3
39728,31,40.05418,-74.90355,3
6533,31,39.9395,-75.29275,5
21270,31,40.03906,-75.03754,5
32553,31,39.98558,-75.18458,5
42999,31,39.97236,-75.23483,3
37785,31,40.12027,-75.36238,3
42976,31,39.93766,-75.22084,3
42871,31,40.16376,-75.61324,3
29063,31,40.02111,-75.1125,3
18380,31,39.97284,-75.26717,5
38817,31,39.99494,-75.09874,3
40296,31,39.98402,-74.5773,3
25231,31,40.23726,-75.25118,3
18406,31,40.03906,-75.03754,3
42774,31,39.91923,-75.16686,3
42891,31,39.890385,-75.285539,3
40341,31,40.18628167,-75.088325,5
42902,31,40.0995,-74.97989,3
41394,31,40.08559,-74.9074,3
29999,31,40.148804,-74.900168,4
43616,31,40.04253,-75.11499,3
41393,31,40.2336085,-74.72738417,3
25228,31,39.94126833,-75.09323,3
39263,31,40.78674,-76.56106,3
42661,31,39.94594,-75.22017,3
43317,31,39.98611,-75.15334,3
40704,31,40.04598,-75.18739,3
40597,31,39.91037,-75.2321,3
32562,31,40.0297,-75.08969,3
28769,31,39.96644,-75.22665,3
